trial,score,best_so_far,peak_timing,best_peak_timing,peak_height,best_peak_height,crash_ratio,best_crash_ratio
529,2.522728569665879,0.11495107880511861,17,2,0.04349216829718993,0.02725902500264201,0.09999999999655124,0.033598242143165036
530,1.560549337282886,0.11495107880511861,19,2,0.7924318601301709,0.02725902500264201,0.07599388758580491,0.033598242143165036
531,1.8703813614142566,0.11495107880511861,18,2,0.3938274790422061,0.02725902500264201,0.09999999999999999,0.033598242143165036
532,11.148008630583476,0.11495107880511861,14,2,0.6262255311332384,0.02725902500264201,0.5641396129355741,0.033598242143165036
533,169.69287852134357,0.11495107880511861,8,2,4.002479016959212,0.02725902500264201,0.866548445400116,0.033598242143165036
534,1.4155222469907585,0.11495107880511861,19,2,0.7681725515285455,0.02725902500264201,0.05434466422319471,0.033598242143165036
535,11.564844716634058,0.11495107880511861,1,2,0.4438880567964274,0.02725902500264201,0.8932644800060506,0.033598242143165036
536,3.949423451453305,0.11495107880511861,15,2,0.08798219424775947,0.02725902500264201,0.9,0.033598242143165036
537,12.030107994149066,0.11495107880511861,3,2,0.5503278050960166,0.02725902500264201,0.8835597258264511,0.033598242143165036
538,232.5984791001011,0.11495107880511861,3,2,4.648639241665085,0.02725902500264201,0.8931579815701582,0.033598242143165036
539,20.57806677883355,0.11495107880511861,15,2,1.3968729998305682,0.02725902500264201,0.9,0.033598242143165036
540,2.616912326544336,0.11495107880511861,15,2,0.10940531421893786,0.02725902500264201,0.09999999999993682,0.033598242143165036
541,2.3554383392097282,0.11495107880511861,16,2,0.18582481261129608,0.02725902500264201,0.09999999999750465,0.033598242143165036
542,42.48756237138594,0.11495107880511861,10,2,1.634363818674995,0.02725902500264201,0.8593439876516937,0.033598242143165036
543,2.356017928547095,0.11495107880511861,17,2,0.03709624924060743,0.02725902500264201,0.09999999999994504,0.033598242143165036
544,0.6364233998196369,0.11495107880511861,4,2,0.32744473296349924,0.02725902500264201,0.052376203451808996,0.033598242143165036
545,1.7549974750346726,0.11495107880511861,15,2,0.5431986275381104,0.02725902500264201,0.09999999969778066,0.033598242143165036
546,2.048254899768685,0.11495107880511861,18,2,0.266657343806148,0.02725902500264201,0.1,0.033598242143165036
547,39.161369131414844,0.11495107880511861,8,2,1.5307029476292866,0.02725902500264201,0.8633158124982174,0.033598242143165036
548,3.1288068894034162,0.11495107880511861,16,2,0.14182477858272496,0.02725902500264201,0.09999999999899584,0.033598242143165036
549,16.164792114267442,0.11495107880511861,6,2,1.234887968158179,0.02725902500264201,0.8909813251360739,0.033598242143165036
550,1.7415774845395875,0.11495107880511861,12,2,0.47297865106811166,0.02725902500264201,0.09999999783548091,0.033598242143165036
551,0.7568210821987734,0.11495107880511861,15,2,0.5723543246446153,0.02725902500264201,0.9,0.033598242143165036
552,9.031290445139003,0.11495107880511861,1,2,2.2140756439112406,0.02725902500264201,0.09999935673245411,0.033598242143165036
553,21.406067361755436,0.11495107880511861,1,2,1.0004928957530577,0.02725902500264201,0.8946054320416547,0.033598242143165036
554,0.6969434435620345,0.11495107880511861,19,2,0.5704170530509781,0.02725902500264201,0.6527021777217045,0.033598242143165036
555,2.8956611053622368,0.11495107880511861,16,2,0.038743507495158556,0.02725902500264201,0.09999999999997425,0.033598242143165036
556,2.4428767129951683,0.11495107880511861,17,2,0.016737283748762273,0.02725902500264201,0.09999999987403978,0.033598242143165036
557,23.21660579059095,0.11495107880511861,7,2,4.102418850371383,0.02725902500264201,0.09999999998753385,0.033598242143165036
558,1.7024336630064474,0.11495107880511861,13,2,0.2275581142519781,0.02725902500264201,0.5572996397697486,0.033598242143165036
559,0.3642313700229958,0.11495107880511861,1,2,0.21528731894733166,0.02725902500264201,0.08103011936191155,0.033598242143165036
560,23.71870159008067,0.11495107880511861,6,2,1.1203577830119906,0.02725902500264201,0.8423563103591579,0.033598242143165036
561,1.2122638332820521,0.11495107880511861,19,2,0.7309785511535153,0.02725902500264201,0.0300635510753689,0.033598242143165036
562,45.41856634039166,0.11495107880511861,1,2,1.6213855377069348,0.02725902500264201,0.8932511053008338,0.033598242143165036
