trial,score,deer.birth,deer.surv,metric.crash_ratio,metric.peak_height,metric.peak_timing,predation.predAtk,predation.predCap,predation.predEff,predators.mort,vegetation.browse,vegetation.capMax,vegetation.vegRate
74,2.1133829322883586,0.9054630183998787,0.7125060819292776,0.6196925289323779,0.20718292617691025,14,0.004300903245797987,0.8915265713967783,0.003088533430977636,0.32188284090390984,0.3135435210781307,152219.88386081107,0.4765370896076174
75,34.723241755395044,0.6870091152411961,0.6012920937465887,0.6621579427332893,2.5039421472734142,6,0.0033023104718915876,0.18349852937374556,0.0017794448058480231,0.06528048838354891,0.5685541201952268,316828.5777550544,0.36968223822462687
76,0.9248198625144685,0.7621333601279248,0.6111085925868924,0.0999996742853496,0.5351568320148241,6,0.0035349256714802273,0.6475394243796596,0.00456761169775008,0.3530709124334841,0.3562867170717379,224161.18547766475,0.011578676335702583
77,76.79182225454421,1.095064738568031,0.9481608600538464,0.8032376354481664,2.56074185458216,11,0.0021259822610380065,0.5128780219039919,0.006493965497854684,0.45695337924992485,0.37503480429853314,332104.96852695406,0.5551075162447037
78,9.630347798260704,0.7768506313528092,0.8594997065934191,0.7957467086112082,0.4454270996436267,12,0.0028462506430708026,0.2953190000599655,0.0012873188988383468,0.35367865586968406,0.0995536735324348,102851.14779386052,0.49771238419353514
79,82.42066637728506,0.9444156974105758,0.5386120889116645,0.7650692883850991,2.8307239133503446,8,0.00019978399052597348,0.4172243645366567,0.003257099754415085,0.1476729141336418,0.30028330627075533,381656.39703809307,0.4228428741356732
80,1.7591410585092193,1.0176791982979374,0.9563774133470491,0.1,0.582918200356833,18,0.004997862298178818,0.6214393466577534,0.0027316347083721866,0.0489088863779696,0.5015751683437087,387811.55270170775,0.06388286311228127
81,32.151797673563365,1.3244655091340907,0.5871147906671005,0.8747057185498461,1.308847270892962,10,0.002926855461576633,0.5895670115359739,0.004942671731800583,0.07288393095809878,0.39090569366021183,230560.26344052274,0.45619860994340866
82,1.9905592525985771,1.2719597849603173,0.6583057585179034,0.09999999999999426,0.40178723377211994,17,0.003468521533080171,0.29498512605723737,0.009454675718653946,0.41237603632684716,0.40208010571271124,186658.68597282947,0.21529702321384378
83,33.25105676691427,0.7909464076483952,0.965688668868117,0.8936662235018503,1.425793185228468,1,0.0020211731974752283,0.4874068144797393,0.009881786187078453,0.33910038164707057,0.18871029430210076,225544.2907525534,0.3345569992933519
84,5.841292187629992,0.8256014232365076,0.8630927139466753,0.6411112381698121,0.28701243874157345,11,0.0031272310063539728,0.6959919556518644,0.002075404471585225,0.28813323037010585,0.11254952483671626,212239.22265578288,0.33013022067074504
